vacancy_link;vacancy_id;vacancy;salary;company_link;company_name;company_id;job_description;responsibilities
/ru/jobs/4250548/;4250548;Frontend Developer;15000–23000;/ru/jobs/by-company/1850749/;Левел99;1850749;"Требования:--Уверенные знания HTML, CSS;--Знание JavaScript, jQuery, PHP;--Знание БЭМ, семантической верстки;--Умение и опыт работы в условиях многозадачности;--Английский на уровне чтения технической документации--Ответственность, внимание к деталям, соблюдение сроков.--Обязанности:--Кроссбраузерная валидная верстка сайтов различной сложности;--Верстка писем для email рассылок;--Внесение правок в готовые проекты, доработка проектов.--Личные качества:--Серьезное отношение к работе;--Умение грамотно распоряжаться своим временем и планировать рабочий день;--";no data available
/ru/jobs/4557840/;4557840;Працівник закладу ресторанного господарства;10000–12000;/ru/jobs/by-company/837382/;no data available;837382;"Розпочни свій кар`єрний шлях разом із нами :)--МакДональдз— це міжнародна компанія, що надасть тобі унікальні можливості для особистого та професійного розвитку, можливість поєднувати навчання та роботу, встигати зустрічатися з друзями, чи проводити час зі сім`єю, а також дійсно відчути, що таке стабільність!--МакДональдз--Приєднатися до команди дуже просто!Заповни анкету на сайті:--Заповни анкету на сайті:--https://ukraine.mcdonalds.ua/ukr/robota-v-makdonaljdz/anketa-na-robotu/82/1--Ми готові запропонувати тобі:--роботу в міжнародній компанії;--стабільну заробітну плату з виплатою два рази на місяць, або щотижня періодичність виплат ти обираєш самостійно;--гнучкий графік роботи можливість відпрацьовувати від 5-ти годин у зазначений проміжок часу;--офіційне працевлаштування;--соціальний пакет згідно КЗпП України оплачувані відпустки, лікарняні, навчальні сесії;--знижку на продукцію компанії;--різноманітні конкурси та мотиваційні програми;--можливість особистого та професійного розвитку корпоративні тренінги та курси;--молодий, енергійний та надзвичайно дружній колектив--Наші вимогидо потенційних кандидатів дуже прості. Тобі не потрібно мати досвід роботи чи спеціальні навички, вже на робочому місці ми тебе всього навчимо, якщо:--Наші вимоги--Ти старше 18-ти років*;--Любиш спілкуватися та енергійний;--Маєш бажання розвиватися та зростати разом із нами.--Тобі потрібно буде:--готувати смачні бургери та іншу продукцію компанії;--формувати замовлення та обслуговувати відвідувачів ресторану;--підтримувати чистоту у ресторані.--Оплата праці:тариф становить 83.60 ./год.до відрахування податку.--Оплата праці:--Твій загальний рівень доходу буде залежати від загальної кількості відпрацьованих годин — чим більше відпрацьовано годин, тим більший прибуток.--Режим роботи: постійна робота, тимчасова робота--*Вік зазначено у зв’язку з особливостями умов праці--";no data available
/ru/jobs/4501078/;4501078;HR-менеджер;20000–50000;/ru/jobs/by-company/1949531/;Flummox Group;1949531;Flummox Group--Если ТЫ ответственная, активная, коммуникабельная — скорее звони и записывайся на собеседование!--КТО НАМ НУЖЕН:--девушка 18 — 25 лет--знание английского (хотя бы базовый)--свободное владение русским языком--желание обучаться и много зарабатывать--Что у тебя будет если будешь работать с НАМИ:--Удобный график 5\2 (9−19)--Комфортабельный офис на Подоле (2 минуты от ст.м.Тараса Шевченка)--Крутые брифы, тренинги и ивенты за счет компании--Фиксированная ставка 18 000  — 20 000  +БОНУСЫ%--БОНУСЫ%--Молодой коллектив и ЗАРЯЖЕННАЯ АТМОСФЕРА--ХВАТИТ ИСКАТЬ РАБОТУ, ЗАПИСЫВАЙСЯ НА СОБЕСЕДОВАНИЕ СЕЙЧАС И НАЧИНАЙ ЗАРАБАТЫВАТЬ!--Твой HR менеджер Мария —Показать телефон--;no data available
/ru/jobs/4530207/;4530207;Водій таксі на авто компанії;28000–40000;/ru/jobs/by-company/1777101/;no data available;1777101;"Автопарк «Joker Украина» приглашает на работу водителей на авто компании.--Мы предлагаем:--✅ работу в стабильных условиях, без первоначального взноса;--✅ зарабатывать от 1000 гривен в день и до 40000 гривен в месяц;--✅ Ваш доход 65% от кассы + 50% за брендирование авто;--✅ ЧАЕВЫЕ остаются у вас;--✅ работу на КОМФОРТНЫХ и ИСПРАВНЫХ автомобилях, которые обслуживаются на нашем СТО;--✅ Наши автомобили: Hyundai Sonata, Volkswagen Jetta,, Skoda Oktavia, Renault Logan, Hyundai Grandeur…--Требования:--✅ возраст от 23 лет--✅ водительское удостоверение категории «В»--✅ стаж не менее 3х лет--✅ отсутствие судимостей--Контакты для собеседования:--Показать телефон--Роман Николаевич--Игорь Николаевич--";no data available
/ru/jobs/4240806/;4240806;Customer support representative, Billing specialist;24000–30000;/ru/jobs/by-company/1904809/;F&S Health Care Solutions;1904809;"Join the F&S Health Care Solutions team and help us improve health care in the U.S.A!--F&S Health Care Solutions is physician and Laboratory support services company.--We’re looking for new talents to join our Customer Support Team in Kyiv, Ukraine.--We offer:--a well-paid job in an American health care company.--a friendly working atmosphere--Refreshments available--supportive atmosphere--Training included--Responsibilities:--Excellent customer support care and focus; ability to assess customers` needs and provide quality service, produce a positive customer experience.--Strive to meet and go above personal and team targets, goals, and meet monthly quotas--Aim for customer resolution and return--Record, organize and file customer interactions and profile/account changes--Process customer service via phone--Requirements:--Upper Intermediate — Advanced English Level or Spanish with strong speaking and reading skills **MANDATORY**--Previous experience in customer support, client services, or a related field--Excellent at communicating over the phone--Time management--Computer skills and experience with tracking and recording call information, filing and organizing documents--Critical thinker and problem-solving skills--Multi-tasker--Experience in communication with native speakers preferable--Great interpersonal and communication skills.--Preferable:--Knowledge of other languages, such as Spanish, Mandarin, French, Russian, Ukrainian.--Contact numbers:--FrancesПоказать телефон--ShiraПоказать телефон--";no data available
/ru/jobs/2641361/;2641361;"Продавець-консультант (ТРЦ ""Рів`єра"")";14000;/ru/jobs/by-company/42923/;no data available;42923;Думаєш, що продавець в COMFY — НАМБЕР ВАН, це просто гасло?--Тоді приходь в магазин в Одесі і переконайся в цьому.--Дорогою подумай чи вмієш:--бути з домашніми гаджетами на ти--чути потреби клієнтів та допомагати їм--—  фанатіти від новинок в електроніці та сервісах--працювати головою та серцем--Ми радо зустрінемо.--Якщо ми твої, а ти наш, то разом з роботою ти отримаєш:--Підтримку наставника на період стажування та рівні можливості з колегами--Систему навчання зручну та цікаву, як соц.мережі прямо в твоєму смартфоні--Прозоре нарахування заробітної плати і всі переваги «білої» компанії--Команду експертів своєї справи, поруч з якими ростеш кожного дня--Зрозумілі інструменти для планування кар`єри від стартової точки «Стажер-продавець» до Директора магазину--Базові умови, без яких ми не ми:--Офіційне працевлаштування та слідування КЗпП--Графік роботи 4/2, 5/2--Слідування філософії піклування #МИзаТЕБЕ--Шлях до співбесіди пролягає через перше знайомство.--Обери як тобі зручніше: додати своє резюме тут на сайті або подружитись з Дариною (наш бот, та вона зіронька J)--А як захочеш — то зателефонуй за номеромПоказать телефонКатерині або без вагань заходь в магазин в твоєму місті.--наш сайтhttp://work.comfy.ua/--Наш COMFYbot Дарина з радістю тобі допоможе:--TelegramFacebookViber--;no data available
/ru/jobs/4507927/;4507927;Повар (израильская кухня);15000–20000;/ru/jobs/by-company/1865147/;no data available;1865147;"По вопросам трудоустройства звоните:--Показать телефонЕлена, управляющая--Требования:--Доброжелательность и энергичность;--Внимательность, ответственность, исполнительность, чистоплотность;--Желание вкусно кормить людей;--Умение работать в режиме многозадачности;--Знание основных технологических процессов;--Умение работать в команде.--Условия работы:--12 часовой рабочий день (с 10 до 22:00)--Официальное трудоустройство--Питание в ресторане для сотрудников--Обязанности:--Приготовление и своевременная отдача блюд в ресторане, согласно ТТК и фотографиям (пицца, паста, сандвичи);--Соблюдение в течение рабочей смены условий и сроков хранения сырья, полуфабрикатов и готовой продукции;--Принятие участия в инвентаризации товарно-материальных ценностей;--Строгое соблюдение правил личной гигиены и требований санитарных норм при приготовлении пищи.--";no data available
/ru/jobs/4517893/;4517893;Менеджер по контролю персонала;18000–22000;/ru/jobs/by-company/1845230/;Solid Line;1845230;"Требования:--Требования--девушка;--возраст: 18−26 лет;--свободный русский язык;--уверенная в себе;--приятная внешность;--с характером.--Условия работы:--Условия работы--Ставка: 18 000 и её увеличение от результативности и продуктивности вашей работы--График работы: 09:00—19:00 5/2--Дежурные смены: 11:00−21:00--Обязанности:--Обязанности--Нам требуется девушка которая, следит за дисциплиной в офисе, прослушивает разговоры, мотивирует на результат работы, увольняет, занимается адаптацией новых сотрудников компании--Отправляй свое резюме, либозвониили пиши вViberилиTelegram--звони--Vibe--r--Telegram--Показать телефон— НR Екатерина--";no data available
/ru/jobs/4570458/;4570458;Главный бухгалтер;no data available;/ru/jobs/by-company/198595/;no data available;198595;"Вимоги:--Вимоги--Высшее образование (экономика, финансы, учет и аудит);--Высокий уровень знания действующего законодательства Украины в сфере бухгалтерского и налогового учета;--Опыт работы на должности главного бухгалтера не менее 5 лет в сфере услуг на общей системе налогообложения;--Знания 1С: Предприятие 8.3., M.E.Doc, клиент-банк, электронный кабинет налогоплательщика;--Компьютерная грамотность — знание MS Office на уровне уверенного пользователя (Word и Excel);--Знание и опыт ВЭД (экспорт/импорт услуг);--Опыт прохождения проверок контролирующими органами;--Опыт прохождения внутренних и внешних аудитов;--Инициативность, коммуникабельность и ответственность;--Умение работать в условиях мультизадачности--опыт работы от пяти лет в крупной\средней международной компании на позиции главного бухгалтера\заместителя главного бухгалтера\старшего бухгалтера--Знание всех участков бухгалтерии--Знание IFRS--Уровень английского — достаточный для того, чтобы вести деловую переписку на английском языке. Разговорный английский — не обязателен.--Умови роботи:--Умови роботи--Пн-Пт., с 09.30 до 18.30;--Оплачиваемый отпуск и больничный лист в соответствии с Трудовым кодексом Украины;--Рабочее место, оргтехника, мобильная связь;--Местонахождение — Печерский район, г. Киев;--Медицинское страхование;--Обов’язки:--Обов’язки--Организация и ведение бухгалтерского, налогового и управленческого учета в сфере услуг;--Предоставление отчетности в контролирующие органы — налоговые, статистические. Подача декларации о прибыли — ежеквартально, подача декларации по НДС — ежемесячно, сдача объединённого отчета по ЕСВ и НДФЛ. Финансовая отчетность — ежеквартально. Регистрация налоговых накладных, согласно НКУ. Отчетность о контролируемых операциях (трансферное ценообразование). Подготовка всех статистических отчетов по годовому перечню Государственной службы статистики (ежеквартально);--Учет основных средств и нематериальных активов, амортизации;--Контроль дебиторской и кредиторской задолженности;--Взаимодействие с налоговой службой;--Контроль начисления заработной платы;--Контроль уплаты налогов;--Ведение взаиморасчетов по импортным / экспортным операциями (услуги);--Прохождение ежегодных внутренних и внешних аудитов;--Прохождение проверок контролирующих органов;--Организация документооборота в бухгалтерском учете для своевременного отражения на счетах бухгалтерского учета результатов хозяйственной деятельности.--";no data available
/ru/jobs/4570425/;4570425;Менеджер з продажу;10000–60000;/ru/jobs/by-company/919968/;UGPS;919968;"Хто ми? —Крута Команда однодумців!--Крута Команда однодумців--Кого ми шукаємо? —менеджера з продажу!--менеджера з продажу--На коли? —на вже!--на вже--В УкраїніUGPSодна з провідних груп, що пропонує широкий спектр пакувальних рішень. Ми займаємося виготовленням та продажем упаковки--UGPS--Чим доведеться займатись у нас?--Збільшувати базу покупців нашої продукції (робота з холодною базою)--Комунікувати з клієнтом та бути його найкращим товаришем) (робота з діючими клієнтами)--А ще… бути для фінансового директора найкращим працівником))) …бо саме він все порахує (робота з оплатами за продукцію)--Що ми пропонуємо?--ЗП = ставка + %--Чим вище Твій результат, тим більший твій дохід!--Ще потужну платформу для професійного і матеріального розвитку, ми навчаємо наших працівників--Якщо ти плануєш відгукнутися на нашу вакансію, то ти:--видаєш крутий результат раніше дедлайну;--маєш підвищений рівень відповідальності в крові і шило в потрібному місці)));--відрізняєшся вмінням нестандартно вирішувати завдання;--грамотно викладаєш думки усно і письмово;--розумієш, що буде набагато складніше, ніж ти зараз передбачаєш;--комунікабельний, відкритий, активний, амбітний;--здатний до навчання;--вмієш працювати в команді;--Не варто телефонувати і писати, якщо ти:--не розумієш різницю між процесом і результатом;--соромишся потурбувати потрібних людей;--Основні обов’язки:--робота з існуючими клієнтами, пошук нових клієнтів;--вивчення продуктів та послуг;--активний збут продукції компанії, сегмент B2B;--збір та аналіз інформації про існуючих та потенційних клієнтів;--збір інформації про конкурентне середовище;--обробка замовлень і договорів, виконання плану реалізації;--проведення зустрічей, планування і проведення комерційних переговорів;--ознайомлення замовників з інформацією про продукт;--контроль дебіторської заборгованості та рекламацій;--контроль виконання договірних зобов’язань клієнтами.--Умови праці:--Місце роботи — офіс знаходиться 5 хвилин пішки від ст. м. Печерська--дружній колектив;--5-ти денний робочий тиждень, з 9−00 до 18−00;--24 календарні дні щорічної оплачуваної відпустки;--Якщо тобі вистачило терпіння дочитати це повідомлення і ти ще не передумав, тоді чекаємо твій дзвінок, чи резюме на e-mail.--Це ми:http://ugps.com.ua/--Це ми--І це також ми:https://www.facebook.com/ugps.com.ua/?ref=aymt_homepage_panel--І це також ми--";no data available
